店名,住所,latitude,longitude
自宅,群馬県高崎市吉井町神保202,36.24570846557617,138.9792022705078
こだま千本桜,埼玉県本庄市児玉町児玉674,36.1878776550293,139.14208984375
吉井運動公園,群馬県高崎市吉井町池1660,36.26435470581055,138.99981689453125
